title,year,minutes,genres,rating,votes,director,cast
"War, Inc.",2008,107,"Action,Comedy,Thriller",5.5,22764,Joshua Seftel,"John Cusack,Marisa Tomei,Hilary Duff,Joan Cusack,Dan Aykroyd"
Killshot,2008,95,"Action,Crime,Drama",6,22453,John Madden,"Thomas Jane,Diane Lane,Mickey Rourke,Brandon McGibbon,Peter Kelly Gaudreault"
The Stoning of Soraya M.,2008,114,Drama,7.9,22448,Cyrus Nowrasteh,"Shohreh Aghdashloo,Jim Caviezel,Mozhan Navabi,Navid Negahban,Ali Pourtash"
The Burning Plain,2008,107,"Crime,Drama,Mystery",6.7,21700,Guillermo Arriaga,"Charlize Theron,John Corbett,José María Yazpik,Robin Tunney,Gray Eubank"
Redbelt,2008,99,"Drama,Sport",6.7,21691,David Mamet,"Chiwetel Ejiofor,Tim Allen,Emily Mortimer,Max Martini,Matt Cable"
Stop-Loss,2008,112,"Drama,War",6.4,21177,Kimberly Peirce,"Ryan Phillippe,Abbie Cornish,Joseph Gordon-Levitt,Rob Brown,Channing Tatum"
I've Loved You So Long,2008,117,Drama,7.6,20881,Philippe Claudel,"Kristin Scott Thomas,Elsa Zylberstein,Serge Hazanavicius,Laurent Grévill,Frédéric Pierrot"
My Sassy Girl,2008,92,"Comedy,Drama,Romance",6.2,20703,Yann Samuell,"Elisha Cuthbert,Jesse Bradford,Austin Basis,Chris Sarandon,Jay Patterson"
Flame & Citron,2008,130,"Action,Drama,History",7.2,20423,Ole Christian Madsen,"Thure Lindhardt,Mads Mikkelsen,Stine Stengade,Peter Mygind,Mille Lehfeldt"
Deadgirl,2008,101,Horror,5.5,20345,Marcel Sarmiento,"Shiloh Fernandez,Noah Segan,Candice King,Eric Podnar,Jenny Spain"
Wendy and Lucy,2008,80,Drama,7.1,20322,Kelly Reichardt,"Michelle Williams,Lucy,David Koppell,Max Clement,Sid Shanley"
The Promotion,2008,86,Comedy,5.6,19998,Steve Conrad,"Seann William Scott,John C. Reilly,Chris Conrad,Rick Gonzalez,Adrian Martinez"
Swing Vote,2008,120,"Comedy,Drama",6.1,19871,Joshua Michael Stern,"Kevin Costner,Paula Patton,Kelsey Grammer,Madeline Carroll,Dennis Hopper"
Il Divo,2008,110,"Biography,Drama",7.2,19714,Paolo Sorrentino,"Toni Servillo,Anna Bonaiuto,Giulio Bosetti,Flavio Bucci,Carlo Buccirosso"
Still Walking,2008,115,Drama,7.9,19687,Hirokazu Koreeda,"Hiroshi Abe,Yui Natsukawa,You,Kazuya Takahashi,Shohei Tanaka"
The Lazarus Project,2008,100,"Drama,Mystery,Thriller",6,19687,John Glenn,"Paul Walker,Piper Perabo,Brooklynn Proulx,Bob Gunton,Lambert Wilson"
The Edge of Love,2008,110,"Biography,Drama,Romance",6.1,19387,John Maybury,"Keira Knightley,Sienna Miller,Matthew Rhys,Simon Armstrong,Ben Batt"
Miracle at St. Anna,2008,160,"Action,Drama,War",6.1,19386,Spike Lee,"Derek Luke,Michael Ealy,Laz Alonso,Omar Benson Miller,Pierfrancesco Favino"
The Children,2008,84,"Horror,Mystery,Thriller",5.9,19378,Tom Shankland,"Eva Birthistle,Stephen Campbell Moore,Jeremy Sheffield,Rachel Shelley,Hannah Tointon"
Zombie Strippers!,2008,94,"Comedy,Horror,Sci-Fi",4.1,19246,Jay Lee,"Jenna Jameson,Robert Englund,Roxy Saint,Penny Vital,Whitney Anderson"
Chocolate,2008,110,"Action,Drama",6.9,19146,Prachya Pinkaew,"JeeJa Yanin,Hiroshi Abe,Pongpat Wachirabunjong,Taphon Phopwandee,Ammara Siripong"
Surveillance,2008,97,"Crime,Drama,Mystery",6.3,18771,Jennifer Lynch,"Julia Ormond,Bill Pullman,Pell James,Caroline Aaron,Hugh Dillon"
Management,2008,94,"Comedy,Drama,Romance",5.8,18702,Stephen Belber,"Jennifer Aniston,Steve Zahn,Woody Harrelson,Margo Martindale,Fred Ward"
Bottle Shock,2008,110,"Comedy,Drama",6.8,18519,Randall Miller,"Chris Pine,Alan Rickman,Bill Pullman,Dennis Farina,Kirk Baily"
Oye Lucky! Lucky Oye!,2008,125,"Comedy,Crime,Drama",7.7,18512,Dibakar Banerjee,"Abhay Deol,Paresh Rawal,Paresh Rawal,Paresh Rawal,Nitu Chandra"
Franklyn,2008,98,"Drama,Fantasy,Sci-Fi",6,18373,Gerald McMorrow,"Eva Green,Eva Green,Ryan Phillippe,Ryan Phillippe,Sam Riley"
Outpost,2008,90,"Action,Horror,Sci-Fi",5.8,18214,Steve Barker,"Ray Stevenson,Julian Wadham,Richard Brake,Paul Blair,Brett Fancy"
Flash of Genius,2008,119,"Biography,Drama",7,18091,Marc Abraham,"Greg Kinnear,Lauren Graham,Alan Alda,Tim Eddis,Warren Belle"
CJ7,2008,88,"Adventure,Comedy,Drama",6.4,17876,Stephen Chow,"Stephen Chow,Yuqi Zhang,Jiao Xu,Lei Huang,Tze-Chung Lam"
The Informers,2008,98,"Crime,Drama,Thriller",4.9,17799,Gregor Jordan,"Billy Bob Thornton,Kim Basinger,Mickey Rourke,Jon Foster,Austin Nichols"
Hamlet 2,2008,92,"Comedy,Music",6.3,17629,Andrew Fleming,"Steve Coogan,Elisabeth Shue,Catherine Keener,J.J. Soria,Skylar Astin"
The Escapist,2008,102,"Crime,Drama,Thriller",6.7,17624,Rupert Wyatt,"Brian Cox,Damian Lewis,Joseph Fiennes,Seu Jorge,Liam Cunningham"
Singh Is King,2008,135,"Action,Comedy,Crime",5.8,17217,Anees Bazmee,"Akshay Kumar,Katrina Kaif,Om Puri,Kirron Kher,Ranvir Shorey"
Anvil: The Story of Anvil,2008,80,"Biography,Documentary,Drama",7.9,17094,Sacha Gervasi,NA
College Road Trip,2008,83,"Adventure,Comedy,Drama",4.3,16960,Roger Kumble,"Raven-Symoné,Martin Lawrence,Kym Whitley,Adam LeFevre,Raaka Kikka"
Inglourious Basterds,2009,153,"Adventure,Drama,War",8.4,1670284,Quentin Tarantino,"Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent,Christoph Waltz"
Avatar,2009,162,"Action,Adventure,Fantasy",7.9,1425919,James Cameron,"Sam Worthington,Zoe Saldaña,Sigourney Weaver,Michelle Rodriguez,Stephen Lang"
Up,2009,96,"Adventure,Animation,Comedy",8.3,1174609,Pete Docter,"Edward Asner,Jordan Nagai,John Ratzenberger,Christopher Plummer,Bob Peterson"
The Hangover,2009,100,Comedy,7.7,882115,Todd Phillips,"Zach Galifianakis,Bradley Cooper,Justin Bartha,Ed Helms,Heather Graham"
District 9,2009,112,"Action,Sci-Fi,Thriller",7.9,733522,Neill Blomkamp,"Sharlto Copley,David James,Jason Cope,Jason Cope,Vanessa Haywood"
Sherlock Holmes,2009,128,"Action,Adventure,Mystery",7.6,688041,Guy Ritchie,"Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong,Eddie Marsan"
Zombieland,2009,88,"Action,Comedy,Horror",7.5,642831,Ruben Fleischer,"Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin,Amber Heard"
Star Trek,2009,127,"Action,Adventure,Sci-Fi",7.9,628663,J.J. Abrams,"Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,Eric Bana"
Harry Potter and the Half-Blood Prince,2009,153,"Action,Adventure,Family",7.6,624562,David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,Dave Legeno"
Watchmen,2009,162,"Action,Drama,Mystery",7.6,596379,Zack Snyder,"Jackie Earle Haley,Patrick Wilson,Patrick Wilson,Carla Gugino,Carla Gugino"
500 Days of Summer,2009,95,"Comedy,Drama,Romance",7.7,586872,Marc Webb,"Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,Chloë Grace Moretz,Matthew Gray Gubler"
X-Men Origins: Wolverine,2009,107,"Action,Sci-Fi",6.5,552724,Gavin Hood,"Hugh Jackman,Hugh Jackman,Liev Schreiber,Ryan Reynolds,Danny Huston"
3 Idiots,2009,170,"Comedy,Drama",8.4,455456,Rajkumar Hirani,"Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,Kareena Kapoor"
Transformers: Revenge of the Fallen,2009,149,"Action,Adventure,Sci-Fi",6,440291,Michael Bay,"Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson,John Turturro"
2012,2009,158,"Action,Adventure,Sci-Fi",5.8,409087,Roland Emmerich,"John Cusack,Thandiwe Newton,Chiwetel Ejiofor,Amanda Peet,Oliver Platt"
Terminator Salvation,2009,115,"Action,Adventure,Sci-Fi",6.5,384983,McG,"Christian Bale,Sam Worthington,Anton Yelchin,Moon Bloodgood,Helena Bonham Carter"
Moon,2009,97,"Drama,Mystery,Sci-Fi",7.8,384962,Duncan Jones,"Sam Rockwell,Kevin Spacey,Dominique McElligott,Rosie Shaw,Adrienne Shaw"
The Proposal,2009,108,"Comedy,Drama,Romance",6.8,378853,Anne Fletcher,"Sandra Bullock,Ryan Reynolds,Mary Steenburgen,Craig T. Nelson,Betty White"
The Blind Side,2009,129,"Biography,Drama,Sport",7.6,373027,John Lee Hancock,"Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head,Lily Collins"
Up in the Air,2009,109,"Comedy,Drama,Romance",7.4,354679,Jason Reitman,"George Clooney,Vera Farmiga,Anna Kendrick,Jason Bateman,Amy Morton"
Law Abiding Citizen,2009,109,"Action,Crime,Drama",7.4,332520,F. Gary Gray,"Gerard Butler,Jamie Foxx,Leslie Bibb,Colm Meaney,Bruce McGill"
Public Enemies,2009,140,"Biography,Crime,Drama",6.9,327600,Michael Mann,"Christian Bale,Johnny Depp,Christian Stolte,Jason Clarke,Stephen Graham"
Hachi: A Dog's Tale,2009,93,"Biography,Drama,Family",8.1,326174,Lasse Hallström,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,Jason Alexander"
Fast & Furious,2009,107,"Action,Thriller",6.5,322035,Justin Lin,"Vin Diesel,Paul Walker,Michelle Rodriguez,Jordana Brewster,John Ortiz"
Angels & Demons,2009,138,"Mystery,Thriller",6.7,316658,Ron Howard,"Tom Hanks,Ewan McGregor,Ayelet Zurer,Stellan Skarsgård,Pierfrancesco Favino"
The Twilight Saga: New Moon,2009,130,"Adventure,Drama,Fantasy",4.8,309377,Chris Weitz,"Kristen Stewart,Robert Pattinson,Taylor Lautner,Christina Jastrzembska,Christina Jastrzembska"
Fantastic Mr. Fox,2009,87,"Adventure,Animation,Comedy",7.9,284216,Wes Anderson,"George Clooney,Meryl Streep,Bill Murray,Jason Schwartzman,Wallace Wolodarsky"
Coraline,2009,100,"Animation,Drama,Family",7.8,282168,Henry Selick,"Dakota Fanning,Teri Hatcher,Teri Hatcher,Teri Hatcher,John Hodgman"
Ice Age: Dawn of the Dinosaurs,2009,94,"Adventure,Animation,Comedy",6.9,274387,Carlos Saldanha,"Ray Romano,John Leguizamo,Denis Leary,Eunice Cho,Karen Disher"
Cloudy with a Chance of Meatballs,2009,90,"Adventure,Animation,Comedy",6.9,270406,Phil Lord,"Anna Faris,Bill Hader,Bruce Campbell,James Caan,Andy Samberg"
Orphan,2009,123,"Horror,Mystery,Thriller",7,265342,Jaume Collet-Serra,"Vera Farmiga,Peter Sarsgaard,Isabelle Fuhrman,CCH Pounder,Jimmy Bennett"
The Road,2009,111,"Drama,Thriller",7.2,262324,John Hillcoat,"Viggo Mortensen,Charlize Theron,Kodi Smit-McPhee,Robert Duvall,Guy Pearce"
Knowing,2009,121,"Mystery,Sci-Fi,Thriller",6.2,255034,Alex Proyas,"Nicolas Cage,Chandler Canterbury,Rose Byrne,Lara Robinson,Lara Robinson"
Mr. Nobody,2009,141,"Drama,Fantasy,Romance",7.7,251377,Jaco Van Dormael,"Jared Leto,Jared Leto,Sarah Polley,Diane Kruger,Linh-Dan Pham"
The Ugly Truth,2009,96,"Comedy,Romance",6.4,235928,Robert Luketic,"Katherine Heigl,Gerard Butler,Bree Turner,Eric Winter,Nick Searcy"
The Secret in Their Eyes,2009,129,"Drama,Mystery,Romance",8.2,231368,NA,NA
The Girl with the Dragon Tattoo,2009,152,"Crime,Drama,Mystery",7.8,226473,Niels Arden Oplev,"Michael Nyqvist,Noomi Rapace,Ewa Fröling,Lena Endre,Sven-Bertil Taube"
17 Again,2009,102,"Comedy,Drama,Fantasy",6.4,223952,Burr Steers,"Zac Efron,Matthew Perry,Leslie Mann,Thomas Lennon,Tyler Steelman"
Drag Me to Hell,2009,99,Horror,6.6,223777,Sam Raimi,"Alison Lohman,Justin Long,Ruth Livier,Lorna Raver,Dileep Rao"
"I Love You, Man",2009,105,"Comedy,Romance",7,221341,John Hamburg,"Paul Rudd,Jason Segel,Rashida Jones,Sarah Burns,Greg Levine"
Night at the Museum: Battle of the Smithsonian,2009,105,"Adventure,Comedy,Family",6,219902,Shawn Levy,"Ben Stiller,Owen Wilson,Amy Adams,Hank Azaria,Hank Azaria"
G.I. Joe: The Rise of Cobra,2009,118,"Action,Adventure,Sci-Fi",5.7,217702,Stephen Sommers,"Dennis Quaid,Channing Tatum,Marlon Wayans,Adewale Akinnuoye-Agbaje,Christopher Eccleston"
The Taking of Pelham 123,2009,106,"Action,Crime,Thriller",6.4,212276,Tony Scott,"Denzel Washington,John Travolta,Luis Guzmán,Victor Gojcaj,Robert Vataj"
Mary and Max,2009,92,"Animation,Comedy,Drama",8.1,195144,Adam Elliot,"Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries,Christopher Massey"
He's Just Not That Into You,2009,129,"Comedy,Drama,Romance",6.4,187807,Ken Kwapis,"Ginnifer Goodwin,Jennifer Aniston,Jennifer Connelly,Morgan Lily,Trenton Rogers"
The Lovely Bones,2009,135,"Drama,Fantasy,Thriller",6.6,185264,Peter Jackson,"Rachel Weisz,Mark Wahlberg,Saoirse Ronan,Susan Sarandon,Stanley Tucci"
Surrogates,2009,89,"Action,Sci-Fi,Thriller",6.3,182447,Jonathan Mostow,"Bruce Willis,Radha Mitchell,Ving Rhames,Rosamund Pike,Boris Kodjoe"
Monsters vs. Aliens,2009,94,"Action,Adventure,Animation",6.4,181922,Rob Letterman,"Reese Witherspoon,Reese Witherspoon,Rainn Wilson,Stephen Colbert,Seth Rogen"
The Princess and the Frog,2009,97,"Adventure,Animation,Comedy",7.2,176513,Ron Clements,"Anika Noni Rose,Keith David,Oprah Winfrey,Bruno Campos,Michael-Leon Wooley"
Adventureland,2009,107,"Comedy,Drama,Romance",6.8,171971,Greg Mottola,"Jesse Eisenberg,Kristen Stewart,Ryan Reynolds,Martin Starr,Jack Gilpin"
Underworld: Rise of the Lycans,2009,92,"Action,Fantasy,Thriller",6.5,171436,Patrick Tatopoulos,"Rhona Mitra,Michael Sheen,Bill Nighy,Steven Mackintosh,Kevin Grevioux"
Invictus,2009,134,"Biography,Drama,History",7.3,170890,Clint Eastwood,"Morgan Freeman,Matt Damon,Tony Kgoroge,Patrick Mofokeng,Matt Stern"
State of Play,2009,127,"Crime,Drama,Mystery",7.1,163633,Kevin Macdonald,"Russell Crowe,Rachel McAdams,Ben Affleck,Helen Mirren,Robin Wright"
Pandorum,2009,108,"Action,Horror,Mystery",6.7,163491,Christian Alvart,"Dennis Quaid,Ben Foster,Cam Gigandet,Antje Traue,Cung Le"
Crank: High Voltage,2009,96,"Action,Thriller",6.1,163089,Mark Neveldine,"Jason Statham,Amy Smart,Clifton Collins Jr.,Dwight Yoakam,Efren Ramirez"
The Time Traveler's Wife,2009,107,"Drama,Fantasy,Romance",7.1,161722,Robert Schwentke,"Eric Bana,Rachel McAdams,Ron Livingston,Michelle Nolden,Alex Ferris"
Jennifer's Body,2009,102,"Comedy,Horror",5.5,160675,Karyn Kusama,"Megan Fox,Amanda Seyfried,Adam Brody,Johnny Simmons,Sal Cortez"
Brothers,2009,105,"Drama,Thriller,War",7.1,159339,Jim Sheridan,"Jake Gyllenhaal,Natalie Portman,Tobey Maguire,Sam Shepard,Mare Winningham"
Brüno,2009,81,Comedy,5.9,156113,Larry Charles,"Sacha Baron Cohen,Gustaf Hammarsten,Clifford Bañagale,Chibundu Orukwowu,Chigozie Orukwowu"
The Imaginarium of Doctor Parnassus,2009,123,"Adventure,Comedy,Fantasy",6.8,155685,Terry Gilliam,"Christopher Plummer,Lily Cole,Heath Ledger,Andrew Garfield,Richard Riddell"
A Serious Man,2009,106,"Comedy,Drama",7,153973,Ethan Coen,"Michael Stuhlbarg,Richard Kind,Sari Lennick,Fred Melamed,Aaron Wolff"
The Invention of Lying,2009,100,"Comedy,Fantasy,Romance",6.4,153292,Ricky Gervais,"Ricky Gervais,Jennifer Garner,Jonah Hill,Louis C.K.,Jeffrey Tambor"
9,2009,79,"Action,Adventure,Animation",7,152364,Shane Acker,"Elijah Wood,Jennifer Connelly,Crispin Glover,Christopher Plummer,Martin Landau"
Gamer,2009,95,"Action,Sci-Fi,Thriller",5.7,141669,Mark Neveldine,"Gerard Butler,Michael C. Hall,Ludacris,Amber Valletta,Kyra Sedgwick"
Antichrist,2009,108,"Drama,Horror,Thriller",6.5,140550,Lars von Trier,"Willem Dafoe,Charlotte Gainsbourg,Storm Acheche Sahlstrøm"
The Men Who Stare at Goats,2009,94,"Comedy,War",6.2,139692,Grant Heslov,"Ewan McGregor,George Clooney,Kevin Spacey,Jeff Bridges,Stephen Lang"
An Education,2009,100,Drama,7.2,139541,Lone Scherfig,"Carey Mulligan,Peter Sarsgaard,Alfred Molina,Olivia Williams,Cara Seymour"
Triangle,2009,99,"Fantasy,Mystery,Sci-Fi",6.9,138797,Christopher Smith,"Melissa George,Joshua McIvor,Jack Taylor,Michael Dorman,Henry Nixon"
Daybreakers,2009,98,"Action,Horror,Sci-Fi",6.4,137725,Michael Spierig,"Ethan Hawke,Willem Dafoe,Sam Neill,Harriet Minto-Day,Jay Laga'aia"
A Christmas Carol,2009,96,"Adventure,Animation,Comedy",6.8,135359,Robert Zemeckis,"Jim Carrey,Jim Carrey,Jim Carrey,Gary Oldman,Gary Oldman"
Julie & Julia,2009,123,"Biography,Drama,Romance",7,132094,Nora Ephron,"Amy Adams,Meryl Streep,Chris Messina,Stanley Tucci,Linda Emond"
Saw VI,2009,90,"Horror,Mystery,Thriller",6,130383,Kevin Greutert,"Costas Mandylor,Mark Rolston,Betsy Russell,Shawnee Smith,Peter Outerbridge"
Exam,2009,101,"Crime,Mystery,Thriller",6.7,130266,Stuart Hazeldine,"Adar Beck,Gemma Chan,Nathalie Cox,John Lloyd Fillingham,Chukwudi Iwuji"
Funny People,2009,146,"Comedy,Drama",6.3,125276,Judd Apatow,"Adam Sandler,Seth Rogen,Leslie Mann,Eric Bana,Jonah Hill"
The Final Destination,2009,82,"Horror,Thriller",5.1,121540,David R. Ellis,"Nick Zano,Krista Allen,Krista Allen,Andrew Fiscella,Bobby Campo"
Friday the 13th,2009,97,"Horror,Mystery,Thriller",5.5,121502,Marcus Nispel,"Jared Padalecki,Amanda Righetti,Derek Mears,Danielle Panabaker,Travis Van Winkle"
Paul Blart: Mall Cop,2009,91,"Action,Comedy,Crime",5.3,120664,Steve Carr,"Kevin James,Keir O'Donnell,Jayma Mays,Raini Rodriguez,Shirley Knight"
A Single Man,2009,99,"Drama,Romance,Thriller",7.5,120030,Tom Ford,"Colin Firth,Julianne Moore,Matthew Goode,Nicholas Hoult,Jon Kortajarena"
Bride Wars,2009,89,"Comedy,Romance",5.5,118979,Gary Winick,"Kate Hudson,Anne Hathaway,Candice Bergen,Bryan Greenberg,Chris Pratt"
Precious,2009,110,Drama,7.3,118341,Lee Daniels,"Gabourey Sidibe,Mo'Nique,Paula Patton,Mariah Carey,Sherri Shepherd"
The Boat That Rocked,2009,117,"Comedy,Drama,Music",7.3,118112,Richard Curtis,"Philip Seymour Hoffman,Bill Nighy,Nick Frost,Michael Hadley,Charlie Rowe"
Couples Retreat,2009,113,Comedy,5.5,117948,Peter Billingsley,"Vince Vaughn,Malin Akerman,Jon Favreau,Jason Bateman,Faizon Love"
Push,2009,111,"Action,Sci-Fi,Thriller",6.1,117374,Paul McGuigan,"Camilla Belle,Dakota Fanning,Chris Evans,Colin Ford,Joel Gretsch"
Dogtooth,2009,97,"Drama,Thriller",7.1,116597,Yorgos Lanthimos,"Christos Stergioglou,Michele Valley,Angeliki Papoulia,Christos Passalis,Mary Tsoni"
Where the Wild Things Are,2009,101,"Adventure,Drama,Family",6.7,110162,Spike Jonze,"Max Records,Catherine O'Hara,Forest Whitaker,Pepita Emmerichs,Max Pfeifer"
Year One,2009,97,Comedy,4.9,106041,Harold Ramis,"Jack Black,Michael Cera,Olivia Wilde,Oliver Platt,David Cross"
A Prophet,2009,155,"Crime,Drama",7.8,104740,Jacques Audiard,"Tahar Rahim,Niels Arestrup,Adel Bencherif,Reda Kateb,Hichem Yacoubi"
Splice,2009,104,"Horror,Sci-Fi",5.8,104496,Vincenzo Natali,"Adrien Brody,Sarah Polley,Delphine Chanéac,Brandon McGibbon,Simona Maicanescu"
The Last House on the Left,2009,113,"Horror,Thriller",6.5,104046,Dennis Iliadis,"Garret Dillahunt,Monica Potter,Tony Goldwyn,Michael Bowen,Josh Coxx"
The International,2009,118,"Action,Crime,Drama",6.5,102339,Tom Tykwer,"Clive Owen,Naomi Watts,Armin Mueller-Stahl,Ulrich Thomsen,Brían F. O'Byrne"
I Love You Phillip Morris,2009,98,"Biography,Comedy,Crime",6.6,101499,Glenn Ficarra,"Jim Carrey,Ewan McGregor,Leslie Mann,Rodrigo Santoro,Antoni Corone"
My Sister's Keeper,2009,109,"Drama,Family",7.3,100652,Nick Cassavetes,"Cameron Diaz,Abigail Breslin,Alec Baldwin,Walter Raney,Sofia Vassilieva"
It's Complicated,2009,120,"Comedy,Drama,Romance",6.5,100618,Nancy Meyers,"Meryl Streep,Steve Martin,Alec Baldwin,John Krasinski,Lake Bell"
The Girl Who Played with Fire,2009,129,"Action,Crime,Drama",7.1,99966,Daniel Alfredson,"Noomi Rapace,Michael Nyqvist,Lena Endre,Peter Andersson,Michalis Koutsogiannakis"
Ghosts of Girlfriends Past,2009,100,"Comedy,Fantasy,Romance",5.8,96897,Mark Waters,"Matthew McConaughey,Jennifer Garner,Emma Stone,Michael Douglas,Breckin Meyer"
The Box,2009,115,"Drama,Mystery,Thriller",5.6,96663,Richard Kelly,"Cameron Diaz,James Marsden,Frank Langella,James Rebhorn,Holmes Osborne"
Crazy Heart,2009,112,"Drama,Music,Romance",7.2,96588,Scott Cooper,"Jeff Bridges,Maggie Gyllenhaal,Colin Farrell,James Keane,Anna Felix"
Case 39,2009,109,"Horror,Mystery,Thriller",6.2,95463,Christian Alvart,"Renée Zellweger,Ian McShane,Jodelle Ferland,Bradley Cooper,Callum Keith Rennie"
Harry Brown,2009,103,"Action,Crime,Drama",7.2,92861,Daniel Barber,"Michael Caine,Emily Mortimer,David Bradley,Charlie Creed-Miles,Iain Glen"
The Human Centipede (First Sequence),2009,92,Horror,4.4,92149,Tom Six,"Dieter Laser,Winter Williams,Ashlynn Yennie,Akihiro Kitamura,Andreas Leupold"
Enter the Void,2009,161,"Drama,Fantasy",7.2,91159,Gaspar Noé,"Nathaniel Brown,Paz de la Huerta,Cyril Roy,Olly Alexander,Masato Tanno"
The Uninvited,2009,87,"Drama,Fantasy,Horror",6.3,87146,Charles Guard,"Emily Browning,Arielle Kebbel,Elizabeth Banks,David Strathairn,Maya Massar"
Confessions of a Shopaholic,2009,104,"Comedy,Romance",5.9,85268,P.J. Hogan,"Isla Fisher,Hugh Dancy,Krysten Ritter,Joan Cusack,John Goodman"
The Fourth Kind,2009,98,"Horror,Mystery,Sci-Fi",5.9,83975,Olatunde Osunsanmi,"Milla Jovovich,Milla Jovovich,Elias Koteas,Will Patton,Hakeem Kae-Kazim"
Bad Lieutenant: Port of Call New Orleans,2009,122,"Crime,Drama,Mystery",6.6,82735,Werner Herzog,"Nicolas Cage,Eva Mendes,Russell M. Haeuser,Val Kilmer,Xzibit"
Dragonball Evolution,2009,85,"Action,Adventure,Fantasy",2.5,82196,James Wong,"Justin Chatwin,James Marsters,Chow Yun-Fat,Emmy Rossum,Jamie Chung"
[Rec]²,2009,85,"Horror,Thriller",6.5,81348,Jaume Balagueró,"Jonathan D. Mellor,Manuela Velasco,Óscar Zafra,Ariel Casas,Alejandro Casaseca"
Chloe,2009,96,"Drama,Mystery,Thriller",6.3,79998,Atom Egoyan,"Julianne Moore,Amanda Seyfried,Liam Neeson,Max Thieriot,R.H. Thomson"
The White Ribbon,2009,144,"Drama,Mystery,Thriller",7.8,79565,Michael Haneke,"Christian Friedel,Ernst Jacobi,Leonie Benesch,Ulrich Tukur,Ursina Lardi"
Solomon Kane,2009,104,"Action,Adventure,Fantasy",6.1,78640,M.J. Bassett,"James Purefoy,Max von Sydow,Rachel Hurd-Wood,Pete Postlethwaite,Mark O'Neal"
A Perfect Getaway,2009,98,"Drama,Mystery,Thriller",6.5,78184,David Twohy,"Milla Jovovich,Steve Zahn,Timothy Olyphant,Kiele Sanchez,Marley Shelton"
Whatever Works,2009,93,"Comedy,Romance",7.1,77932,Woody Allen,"Evan Rachel Wood,Larry David,Henry Cavill,Adam Brooks,Lyle Kanouse"
Ninja Assassin,2009,99,"Action,Thriller",6.3,77349,James McTeigue,"Rain,Rick Yune,Naomie Harris,Jonathan Chan-Pensley,Ill-Young Kim"
Land of the Lost,2009,102,"Action,Adventure,Comedy",5.3,77219,Brad Silberling,"Will Ferrell,Danny McBride,Anna Friel,Jorma Taccone,John Boylan"
Youth in Revolt,2009,90,"Comedy,Drama,Romance",6.4,77202,Miguel Arteta,"Michael Cera,Michael Cera,Portia Doubleday,Jean Smart,Zach Galifianakis"
Mother,2009,129,"Crime,Drama,Mystery",7.7,75953,Bong Joon Ho,"Kim Hye-ja,Won Bin,Jin Goo,Yun Je-mun,Jeon Mi-seon"
The Collector,2009,90,"Horror,Thriller",6.3,75928,Marcus Dunstan,"Josh Stewart,Andrea Roth,Juan Fernández,William Prael,Diane Ayala Goldner"
The Girl Who Kicked the Hornet's Nest,2009,147,"Crime,Drama,Mystery",7.3,75846,Daniel Alfredson,"Michael Nyqvist,Noomi Rapace,Lena Endre,Annika Hallin,Jacob Ericksson"
Agora,2009,127,"Adventure,Biography,Drama",7.1,74472,Alejandro Amenábar,"Rachel Weisz,Max Minghella,Oscar Isaac,Ashraf Barhom,Michael Lonsdale"
Cell 211,2009,113,"Action,Crime,Drama",7.6,72341,Daniel Monzón,"Luis Tosar,Alberto Ammann,Antonio Resines,Manuel Morón,Carlos Bardem"
Dead Snow,2009,91,"Comedy,Fantasy,Horror",6.3,71623,Tommy Wirkola,"Jeppe Beck Laursen,Charlotte Frogner,Jenny Skavlan,Geir Vegar Hoel,Stig Frode Henriksen"
Whip It,2009,111,"Drama,Sport",6.9,71308,Drew Barrymore,"Elliot Page,Drew Barrymore,Kristen Wiig,Sarah Habel,Shannon Eagen"
Dorian Gray,2009,112,"Drama,Fantasy,Mystery",6.2,69588,Oliver Parker,"Ben Barnes,Colin Firth,Rebecca Hall,John Hollingworth,Cato Sandford"
